,title,author,rating,pages,publisher,ISBN,genre,series,author_followers,publish_date
0,"Red, White & Royal Blue",Casey McQuiston,4.38,421,St. Martin's Griffin,English,Romance,0,3680,2019-05-14
1,"Red, White & Royal Blue",Casey McQuiston,4.38,421,St. Martin's Griffin,English,Romance,0,3680,2019-05-14
2,"Red, White & Royal Blue",Casey McQuiston,4.38,421,St. Martin's Griffin,English,Romance,0,3680,2019-05-14
3,The Silent Patient,Alex Michaelides,4.05,323,Celadon Books,1250301696,Mystery,0,3630,2019-02-05
4,"My Sister, the Serial Killer",Oyinkan Braithwaite,3.78,226,Doubleday Books,0385544235,Fiction,0,1409,2018-11-20
5,The Ten Thousand Doors of January,Alix E. Harrow,4.15,374,Redhook,0316421995,Fantasy,0,840,2019-09-10
6,The Water Dancer,Ta-Nehisi Coates,4.15,403,One World,0399590595,Historical,0,8415,2019-09-24
7,Evvie Drake Starts Over,Linda  Holmes,3.92,289,Ballantine Books,0525619240,Fiction,0,892,2019-06-25
8,On Earth We're Briefly Gorgeous,Ocean Vuong,4.12,246,Penguin Press,0525562028,Fiction,0,1361,2019-06-04
9,A Woman Is No Man,Etaf Rum,4.24,336,Harper,0062699768,Fiction,0,1030,2019-03-05
10,The Secrets We Kept,Lara Prescott,3.75,349,Knopf Publishing Group,0525656154,Historical,0,457,2019-09-03
11,Queenie,Candice Carty-Williams,3.74,330,Gallery/Scout Press,1501196014,Fiction,0,991,2019-03-19
12,Serpent & Dove,Shelby Mahurin,4.25,513,HarperTeen,English,Fantasy,0,1436,2019-09-03
13,Miracle Creek,Angie  Kim,3.95,355,Sarah Crichton Books,0374156026,Mystery,0,996,2019-04-16
14,The Most Fun We Ever Had,Claire Lombardo,4.07,532,Doubleday Books,0385544251,Fiction,0,653,2019-06-25
15,Boy Swallows Universe,Trent Dalton,4.45,453,Harper,0062898108,Fiction,0,479,2019-04-02
16,When All Is Said,Anne  Griffin,4.08,326,Thomas Dunne Books(first published January 24th 2019),125020058X,Fiction,0,458,2019-03-05
17,House of Salt and Sorrows,Erin A. Craig,3.98,416,Delacorte,1984831925,Fantasy,0,823,2019-08-06
18,We Hunt the Flame,Hafsah Faizal,3.83,472,"Farrar, Straus and Giroux",0374311544,Fantasy,1,1557,2019-05-14
19,Gideon the Ninth,Tamsyn Muir,4.27,448,Tor.com,1250313198,Fantasy,1,821,2019-09-10
20,The Friend Zone,Abby Jimenez,3.96,384,Forever,1538715600,Romance,0,1291,2019-06-11
21,Fleishman Is in Trouble,Taffy Brodesser-Akner,3.77,384,Random House,0525510877,Fiction,0,494,2019-06-18
22,Five Feet Apart,Rachael Lippincott,4.18,288,Simon  Schuster Books for Young Readers,1534437339,Young,0,575,2018-11-20
23,Five Feet Apart,Rachael Lippincott,4.18,288,Simon  Schuster Books for Young Readers,1534437339,Young,0,575,2018-11-20
24,Five Feet Apart,Rachael Lippincott,4.18,288,Simon  Schuster Books for Young Readers,1534437339,Young,0,575,2018-11-20
25,On the Come Up,Angie Thomas,4.31,447,Balzer + Bray,0062498568,Young,0,11980,2019-02-05
26,With the Fire on High,Elizabeth Acevedo,4.29,392,HarperTeen,006266283X,Young,0,2754,2019-05-07
27,Two Can Keep a Secret,Karen M. McManus,3.97,329,Delacorte Press,1524714720,Mystery,0,5021,2019-01-08
28,The Fountains of Silence,Ruta Sepetys,4.32,512,Philomel Books,0399160310,Historical,0,11305,2019-10-01
29,"Again, but Better",Christine Riccio,3.69,373,Wednesday Books,125029925X,comments,0,100452,2019-05-07
30,I Wish You All the Best,Mason Deaver,4.18,329,Push,"Raleigh, North Carolina",Young,0,679,2019-05-14
31,The Vanishing Stair,Maureen Johnson,4.27,384,Katherine Tegen Books,English,Mystery,0,9808,2019-01-22
32,American Royals,Katharine McGee,3.85,448,Random House Books for Young Readers,1984830171,Young,1,1898,2019-09-03
33,The Rest of the Story,Sarah Dessen,4.1,440,Balzer + Bray,English,Young,0,41340,2019-06-04
34,Capturing the Devil,Kerri Maniscalco,4.34,453,JIMMY Patterson,English,Historical,0,6246,2019-09-10
35,Internment,Samira Ahmed,3.94,387,"Little, Brown Books for Young Readers(first published March 18th 2019)",English,Young,0,713,2019-03-19
36,The Princess and the Fangirl,Ashley Poston,3.91,320,Quirk Books,1683690966,Contemporary,1,2346,2019-04-02
37,Frankly in Love,David   Yoon,3.89,432,G.P. Putnam’s Sons Books for Young Readers,1984812203,Young,1,170,2019-09-10
