,title,author,rating,pages,publisher,ISBN,genre,series,author_followers,publish_date
38,Serious Moonlight,Jenn Bennett,3.79,426,Simon Pulse,1534425144,Contemporary,0,2846,2019-04-16
39,Opposite of Always,Justin A. Reynolds,3.76,457,Katherine Tegen Books,"//<![CDATA[
      var newTip = new Tip",Add,0,470,2019-03-05
40,The Grace Year,Kim Liggett,4.16,416,Wednesday Books,1250145449,Young,0,664,2019-10-08
41,Lovely War,Julie Berry,4.28,480,Viking Books for Young Readers,0451469933,Historical,0,1212,2019-03-05
42,Love From A to Z,S.K. Ali,4.13,384,Salaam Reads,B07M5V9VS9,Add,0,602,2019-04-30
43,Birthday,Meredith Russo,4.3,288,Flatiron Books,1250129834,Young,0,1108,2019-05-21
44,The Wicked King,Holly Black,4.46,326,Hot Key Books,0316310352,Fantasy,1,31572,2019-01-08
45,The Wicked King,Holly Black,4.46,326,Hot Key Books,0316310352,Fantasy,1,31572,2019-01-08
46,The Wicked King,Holly Black,4.46,326,Hot Key Books,0316310352,Fantasy,1,31572,2019-01-08
47,Wayward Son,Rainbow Rowell,4.14,356,Wednesday Books,1250146070,Fantasy,1,126816,2019-09-24
48,Queen of Air and Darkness,Cassandra Clare,4.37,893,Margaret K. McElderry Books,1442468432,Fantasy,1,194944,2018-12-04
49,King of Scars,Leigh Bardugo,4.22,514,Imprint,1250142288,Fantasy,1,54175,2019-01-29
50,Wilder Girls,Rory Power,3.63,353,Delacorte Press,0525645586,Young,0,772,2019-07-09
51,The Toll,Neal Shusterman,4.36,627,Simon & Schuster Books for Young Readers,English,Young,0,15292,2019-11-05
52,A Curse So Dark and Lonely,Brigid Kemmerer,4.23,484,Bloomsbury YA,1681195089,Fantasy,1,6035,2019-01-29
53,Finale,Stephanie Garber,4.2,478,Flatiron Books,1250157668,Fantasy,1,9756,2019-05-07
54,Sorcery of Thorns,Margaret  Rogerson,4.17,456,Margaret K. McElderry Books,1481497618,Fantasy,0,3703,2019-06-04
55,Aurora Rising,Amie Kaufman,4.18,473,Knopf Books for Young Readers(first published May 6th 2019),English,Science,0,8806,2019-05-07
56,Supernova,Marissa Meyer,4.51,552,Feiwel & Friends,1250078385,Fantasy,1,82690,2019-11-05
57,Defy Me,Tahereh Mafi,4.2,352,HarperTeen,English,Young,0,26331,2019-04-02
58,Bloodwitch,Susan Dennard,4.33,464,Tor Teen,0765379325,Fantasy,1,7212,2019-02-12
59,Call Down the Hawk,Maggie Stiefvater,4.51,472,Scholastic Press,1338188321,Fantasy,1,129698,2019-11-05
60,Four Dead Queens,Astrid Scholte,3.76,413,G.P. Putnam's Sons Books for Young Readers,0525513922,Fantasy,0,914,2019-02-26
61,Rebel,Marie Lu,4.2,384,Roaring Book Press,English,Young,0,104074,2019-10-01
62,The Secret Commonwealth,Philip Pullman,4.19,633,Alfred A. Knopf Books for Young Readers,0553510665,Add,1,17468,2019-10-03
63,Serpent & Dove,Shelby Mahurin,4.25,513,HarperTeen,English,Fantasy,0,1436,2019-09-03
64,We Hunt the Flame,Hafsah Faizal,3.83,472,"Farrar, Straus and Giroux",0374311544,Fantasy,1,1557,2019-05-14
65,The Gilded Wolves,Roshani Chokshi,3.67,388,Wednesday Books,125014454X,Fantasy,1,5377,2019-01-15
66,The Tyrant's Tomb,Rick Riordan,4.44,440,Disney-Hyperion,1484746449,Fantasy,1,279351,2019-09-24
67,The Tyrant's Tomb,Rick Riordan,4.44,440,Disney-Hyperion,1484746449,Fantasy,1,279352,2019-09-24
68,The Tyrant's Tomb,Rick Riordan,4.44,440,Disney-Hyperion,1484746449,Fantasy,1,279352,2019-09-24
69,Tunnel of Bones,Victoria Schwab,4.15,304,Scholastic Press,1338111043,Childrens,1,49561,2019-09-03
70,Guts,Raina Telgemeier,4.37,213,Graphix,0545852501,Sequential,1,9050,2019-09-17
71,The Remarkable Journey of Coyote Sunrise,Dan Gemeinhart,4.53,344,Henry Holt,"//<![CDATA[
      var newTip = new Tip",Childrens,0,740,2019-01-08
72,New Kid,Jerry Craft,4.06,256,HarperCollins,"New York City, New York",Sequential,0,155,2019-02-05
73,A Crystal of Time,Soman Chainani,4.53,624,HarperCollins,0062695177,Fantasy,1,3635,2019-03-05
74,Dragon Pearl,Yoon Ha Lee,3.83,312,Rick Riordan Presents,136801335X,Fantasy,0,1137,2019-01-15
75,Diary of an Awesome Friendly Kid: Rowley Jefferson's Journal,Jeff Kinney,3.98,224,Harry N. Abrams,141974027X,Humor,0,10685,2019-04-09
76,The Strangers,Margaret Peterson Haddix,3.84,416,Katherine Tegen Books,0062838377,Childrens,1,4973,2019-04-02
77,Aru Shah and the Song of Death,Roshani Chokshi,4.31,381,Rick Riordan Presents,1368013848,Fantasy,0,5377,2019-04-30
78,The Bridge Home,Padma Venkatraman,4.34,208,Nancy Paulsen Books,English,Childrens,0,252,2019-02-05
79,Other Words for Home,Jasmine Warga,4.47,352,Balzer + Bray,"//<![CDATA[
      var newTip = new Tip",Childrens,0,1344,2019-05-28
80,Legacy,Shannon Messenger,4.63,816,Aladdin,English,Fantasy,0,5585,2019-11-05
81,Shouting at the Rain,Lynda Mullaly Hunt,4.22,288,Nancy Paulsen Books,"//<![CDATA[
      var newTip = new Tip",Childrens,0,866,2019-05-07
82,To Night Owl from Dogfish,Holly Goldberg Sloan,4.09,304,Dial Books,0525553231,Childrens,0,922,2019-02-12
83,Dead Voices,Katherine Arden,4.13,236,G.P. Putnam's Sons Books for Young Readers,English,Childrens,0,7563,2019-08-27
84,The Unteachables,Gordon Korman,4.28,288,Balzer + Bray,0062563882,Childrens,0,2325,2019-01-08
85,A Tale of Magic...,Chris Colfer,4.38,496,"Little, Brown Books for Young Readers",A Tale of Magic #1,Fantasy,0,7038,2019-10-01
86,Dear Sweet Pea,Julie   Murphy,4.12,273,Balzer + Bray,0062473077,Childrens,0,3234,2019-10-01
87,Tristan Strong Punches a Hole in the Sky,Kwame Mbalia,4.41,496,Rick Riordan Presents,1368039936,Fantasy,1,148,2019-10-15
88,A Beautiful Day in the Neighborhood: The Poetry of Mister Rogers,Fred Rogers,4.4,144,Quirk Books,168369113X,Poetry,0,505,2019-03-19
89,A Beautiful Day in the Neighborhood: The Poetry of Mister Rogers,Fred Rogers,4.4,144,Quirk Books,168369113X,Poetry,0,505,2019-03-19
90,A Beautiful Day in the Neighborhood: The Poetry of Mister Rogers,Fred Rogers,4.4,144,Quirk Books,168369113X,Poetry,0,505,2019-03-19
91,Sulwe,Lupita Nyong’o,4.58,48,Simon  Schuster Books for Young Readers,1534425365,Childrens,0,44,2019-10-15
92,The Good Egg,Jory John,4.1,34,HarperCollins(first published 2019),English,Childrens,0,167,2019-02-12
93,Hair Love,Matthew A. Cherry,4.5,32,Kokila,0525553363,Childrens,0,8,2019-05-14
94,Unicorn Day,Diana  Murray,3.76,32,Sourcebooks Jabberwocky,English,Childrens,0,120,2019-06-04
95,A Tiger Like Me,Michael Engler,4.1,32,Amazon Crossing Kids,"//<![CDATA[
      var newTip = new Tip",Childrens,0,8,2019-09-01
96,Because,Mo Willems,4.27,40,Hyperion Books for Children,English,Childrens,0,3140,2019-03-05
97,We Are (Not) Friends,Anna Kang,3.85,40,Two Lions,English,Childrens,0,125,2019-05-01
98,Just Because,Mac Barnett,3.83,40,Candlewick Press,English,Add,0,730,2019-09-10
99,A Piglet Named Mercy,Kate DiCamillo,3.84,32,Candlewick Press,English,Childrens,1,6167,2019-04-02
100,Pirates Don't Go to Kindergarten!,Lisa     Robinson,4.15,32,Two Lions,"//<![CDATA[
      var newTip = new Tip",Childrens,0,31,2019-08-01
101,The Proudest Blue,Ibtihaj Muhammad,4.56,40,Little Brown Books,English,Childrens,0,36,2019-09-10
102,How to Read a Book,Kwame Alexander,3.79,32,HarperCollins,English,Childrens,0,1643,2019-06-18
103,It's Not Hansel and Gretel,Josh Funk,4.05,40,Two Lions,It's Not a Fairy Tale #2,Childrens,0,356,2019-03-01
104,Fry Bread: A Native American Family Story,Kevin Noble Maillard,4.53,42,Roaring Brook Press,1626727465,Childrens,0,7,2019-10-22
105,What If Everybody Thought That?,Ellen Javernick,3.46,32,Two Lions,What If Everybody? #3,Childrens,0,40,2019-08-27
106,Vacation for Dexter!,Lindsay Ward,3.68,32,Two Lions,Dexter T. Rexter,Childrens,0,121,2019-04-16
107,The Undefeated,Kwame Alexander,4.74,40,Versify,1328780961,Childrens,0,1643,2019-04-02
108,Rosie the Dragon and Charlie Make Waves,Lauren H. Kerstein,3.85,40,Two Lions,"//<![CDATA[
      var newTip = new Tip",Childrens,0,10,2019-06-01
109,Snow Globe Wishes,Erin Dealey,3.76,32,Sleeping Bear Press,"//<![CDATA[
      var newTip = new Tip",Childrens,0,51,2019-09-15
110,The Testaments,Margaret Atwood,4.23,422,Nan A. Talese,0385543786,Fiction,1,55639,2019-09-10
111,The Testaments,Margaret Atwood,4.23,422,Nan A. Talese,0385543786,Fiction,1,55639,2019-09-10
112,The Testaments,Margaret Atwood,4.23,422,Nan A. Talese,0385543786,Fiction,1,55639,2019-09-10
113,Normal People,Sally Rooney,3.89,273,Hogarth Press(first published August 28th 2018),1984822179,Fiction,0,4938,2019-04-16
114,Where the Forest Meets the Stars,Glendy Vanderah,4.16,332,Lake Union Publishing,154204006X,Fiction,0,386,2019-03-01
115,"Ask Again, Yes",Mary Beth Keane,4.04,390,Scribner,1982106980,Fiction,0,1105,2019-05-28
116,Queenie,Candice Carty-Williams,3.74,330,Gallery/Scout Press,1501196014,Fiction,0,992,2019-03-19
117,On Earth We're Briefly Gorgeous,Ocean Vuong,4.12,246,Penguin Press,0525562028,Fiction,0,1361,2019-06-04
118,A Woman Is No Man,Etaf Rum,4.24,336,Harper,0062699768,Fiction,0,1030,2019-03-05
119,The Overdue Life of Amy Byler,Kelly Harms,3.93,332,Lake Union Publishing,1542042968,Fiction,0,587,2019-05-01
120,"Olive, Again",Elizabeth Strout,4.33,304,Random House,0812996542,Fiction,1,4785,2019-10-15
121,The Most Fun We Ever Had,Claire Lombardo,4.07,532,Doubleday Books,0385544251,Fiction,0,653,2019-06-25
122,The Bookish Life of Nina Hill,Abbi Waxman,3.87,333,Berkley Books,0451491874,Fiction,0,1324,2019-07-09
123,The Last Romantics,Tara Conklin,3.76,354,William Morrow,0062358200,Fiction,0,964,2019-02-05
124,Red at the Bone,Jacqueline Woodson,4.07,208,Riverhead Books,0525535276,Fiction,0,4868,2019-09-17
125,When All Is Said,Anne  Griffin,4.08,326,Thomas Dunne Books(first published January 24th 2019),125020058X,Fiction,0,458,2019-03-05
126,The Gifted School,Bruce Holsinger,3.8,450,Riverhead,English,Fiction,0,502,2019-07-02
127,Fleishman Is in Trouble,Taffy Brodesser-Akner,3.77,384,Random House,0525510877,Fiction,0,494,2019-06-18
128,Find Me,André Aciman,3.4,260,"Farrar, Straus and Giroux",0374155011,Fiction,1,4363,2019-10-29
129,The Reckless Oath We Made,Bryn Greenwood,4.06,436,G.P. Putnam's Sons,0525541845,Fiction,0,2627,2019-08-20
130,"Girl, Woman, Other",Bernardine Evaristo,4.39,464,Black Cat/Grove Atlantic(first published May 2nd 2019),0802156983,Fiction,0,368,2019-11-05
131,Lanny,Max Porter,4.17,213,Graywolf Press(first published March 5th 2019),1555978401,Fiction,0,625,2019-05-14
132,The Silent Patient,Alex Michaelides,4.05,323,Celadon Books,1250301696,Mystery,0,3630,2019-02-05
133,The Silent Patient,Alex Michaelides,4.05,323,Celadon Books,1250301696,Mystery,0,3630,2019-02-05
134,The Silent Patient,Alex Michaelides,4.05,323,Celadon Books,1250301696,Mystery,0,3630,2019-02-05
135,"My Sister, the Serial Killer",Oyinkan Braithwaite,3.78,226,Doubleday Books,0385544235,Fiction,0,1409,2018-11-20
136,The Turn of the Key,Ruth Ware,3.98,337,Gallery/Scout Press,1501188771,Mystery,0,13520,2019-08-06
137,The Lost Man,Jane Harper,4.21,340,Flatiron Books(first published October 23rd 2018),1250105684,Mystery,0,5392,2019-02-05
138,An Anonymous Girl,Greer Hendricks,3.84,375,St. Martin's Press,1250133734,Thriller,0,3889,2019-01-08
139,The Whisper Man,Alex North,4.09,355,Celadon Books(first published June 13th 2019),1250317991,Thriller,0,708,2019-08-20
140,Run Away,Harlan Coben,4.07,371,Grand Central Publishing,1538748460,Mystery,0,17541,2019-03-19
141,Lock Every Door,Riley Sager,3.98,371,Dutton Books,1524745146,Thriller,0,4701,2019-07-02
142,Miracle Creek,Angie  Kim,3.95,355,Sarah Crichton Books,0374156026,Mystery,0,996,2019-04-16
143,The Mother-in-Law,Sally Hepworth,4.0,340,St. Martin's Press(first published January 29th 2019),1250120926,Mystery,0,5635,2019-04-23
144,A Better Man,Louise Penny,4.38,437,Minotaur Books,1250066212,Mystery,1,10886,2019-08-27
145,The Family Upstairs,Lisa Jewell,4.03,352,Atria Books(first published August 6th 2019),1501190105,Mystery,0,11321,2019-11-05
146,The Chain,Adrian McKinty,3.84,357,Mulholland Books,031653126X,Thriller,0,1530,2019-07-09
147,Disappearing Earth,Julia  Phillips,3.89,264,Knopf,English,Fiction,0,385,2019-05-14
148,Searching for Sylvie Lee,Jean Kwok,3.68,336,William Morrow,0062834304,Fiction,0,1222,2019-06-04
149,I'll Never Tell,Catherine McKenzie,3.77,355,Lake Union Publishing,1542040353,Mystery,0,3403,2019-06-01
150,The Night Fire,Michael Connelly,4.39,405,"Little, Brown and Company",0316485616,Mystery,1,19992,2019-10-22
151,The Last Widow,Karin Slaughter,4.19,446,William Morrow,0062858084,Thriller,1,24613,2019-08-20
152,My Lovely Wife,Samantha  Downing,3.91,374,Berkley Books,English,Thriller,0,1277,2019-03-26
153,The Line Between,Tosca Lee,4.18,384,Howard Books,1476798621,Thriller,1,2076,2019-01-29
154,Daisy Jones & The Six,Taylor Jenkins Reid,4.22,355,Ballantine Books,1524798622,Historical,0,12873,2019-03-05
155,Daisy Jones & The Six,Taylor Jenkins Reid,4.22,355,Ballantine Books,1524798622,Historical,0,12873,2019-03-05
156,Daisy Jones & The Six,Taylor Jenkins Reid,4.22,355,Ballantine Books,1524798622,Historical,0,12873,2019-03-05
157,The Nickel Boys,Colson Whitehead,4.29,224,Doubleday Books,0385537077,Fiction,0,6250,2019-07-16
158,The Huntress,Kate Quinn,4.27,531,William Morrow,0062884344,Add,0,6524,2019-02-26
159,City of Girls,Elizabeth Gilbert,4.07,470,Riverhead,1594634734,Historical,0,23429,2019-06-04
160,The Giver of Stars,Jojo Moyes,4.34,400,Pamela Dorman Books(first published October 3rd 2019),0399562486,Historical,0,42304,2019-10-08
161,The Water Dancer,Ta-Nehisi Coates,4.15,403,One World,0399590595,Historical,0,8415,2019-09-24
162,Once Upon a River,Diane Setterfield,3.99,464,Atria/Emily Bestler Books,0743298071,Historical,0,3962,2018-12-04
163,The Lost Girls of Paris,Pam Jenoff,3.88,377,Park Row,0778308618,Historical,0,2552,2019-01-29
164,The Dutch House,Ann Patchett,4.28,337,Harper,0062963678,Fiction,0,8306,2019-09-24
165,Summer of '69,Elin Hilderbrand,4.0,432,"Little, Brown and Company(first published June 13th 2019)",0316420018,Historical,0,13457,2019-06-18
166,The Island of Sea Women,Lisa See,4.22,374,Scribner,English,Historical,0,44508,2019-03-05
167,What the Wind Knows,Amy Harmon,4.38,416,Lake Union Publishing,1542040078,Historical,0,11788,2019-03-01
168,The Night Tiger,Yangsze Choo,3.86,384,Flatiron Books,1250175453,Historical,0,1742,2019-02-12
169,Lost Roses,Martha Hall Kelly,4.0,432,Ballantine Books(first published April 2nd 2019),1524796379,Historical,1,3777,2019-04-09
170,Mrs. Everything,Jennifer Weiner,3.86,480,Atria Books,1501133489,Fiction,0,14047,2019-06-11
171,Cilka's Journey,Heather   Morris,4.43,352,St. Martin's Press,1250265703,Historical,0,3173,2019-10-01
172,The Book Woman of Troublesome Creek,Kim Michele Richardson,4.25,320,Sourcebooks Landmark,1492691631,Historical,0,529,2019-05-07
173,This Tender Land,William Kent Krueger,4.41,450,Atria Books,1476749299,Historical,0,3211,2019-09-03
174,Nottingham,Nathan Makaryk,4.09,496,Forge Books,1250195608,Historical,0,53,2019-08-06
175,The Summer Country,Lauren Willig,3.89,480,William Morrow,0062839020,Historical,0,3286,2019-06-04
176,Ninth House,Leigh Bardugo,4.18,458,Flatiron Books,1250313074,Fantasy,1,54175,2019-10-08
177,Ninth House,Leigh Bardugo,4.18,458,Flatiron Books,1250313074,Fantasy,1,54175,2019-10-08
178,Ninth House,Leigh Bardugo,4.18,458,Flatiron Books,1250313074,Fantasy,1,54175,2019-10-08
179,The Starless Sea,Erin Morgenstern,4.13,512,Doubleday Books,038554121X,Fantasy,0,20114,2019-11-05
180,Fire & Blood,George R.R. Martin,3.89,719,Bantam,152479628X,Fantasy,1,92710,2018-11-20
181,The Priory of the Orange Tree,Samantha Shannon,4.18,827,Bloomsbury Publishing,English,Fantasy,0,7115,2019-02-26
182,The Red Scrolls of Magic,Cassandra Clare,4.25,350,Margaret K. McElderry Books,1481495089,Fantasy,1,194948,2019-04-09
183,The Winter of the Witch,Katherine Arden,4.52,372,Del Rey Books,1101885998,Fantasy,1,7563,2019-01-08
184,Of Blood and Bone,Nora Roberts,4.3,453,St. Martin's Press,1250122996,Fantasy,1,36129,2018-12-04
185,Storm Cursed,Patricia Briggs,4.43,368,Ace Books,0425281299,Fantasy,1,23132,2019-05-07
186,"Black Leopard, Red Wolf",Marlon James,3.49,620,Riverhead Books,0735220174,Fantasy,1,2863,2019-02-05
187,Middlegame,Seanan McGuire,4.12,528,Tor.com,1250195527,Fantasy,0,10012,2019-05-07
188,The Ten Thousand Doors of January,Alix E. Harrow,4.15,374,Redhook,0316421995,Fantasy,0,840,2019-09-10
189,Gods of Jade and Shadow,Silvia Moreno-Garcia,3.91,338,Del Rey,English,Fantasy,0,1187,2019-07-23
190,The Kingdom of Copper,S.A. Chakraborty,4.42,621,Harper Voyager,0062678132,Fantasy,1,3120,2019-01-22
191,The Dragon Republic,R.F. Kuang,4.33,654,Harper Voyager,0062662635,Fantasy,1,2945,2019-08-06
192,Darkdawn,Jay Kristoff,4.42,512,St. Martin's Press,1250073049,Fantasy,1,12307,2019-09-03
193,Magic for Liars,Sarah Gailey,3.67,336,Tor Books,1250174619,Fantasy,0,781,2019-06-04
194,The Burning White,Brent Weeks,4.4,992,Orbit,0316251305,Fantasy,1,17614,2019-10-22
195,Age of Legend,Michael J. Sullivan,4.39,480,Grim Oak Press,English,Fantasy,1,68518,2019-07-09
196,A Little Hatred,Joe Abercrombie,4.52,480,Orbit,031618716X,Fantasy,1,16526,2019-09-17
197,Holy Sister,Mark  Lawrence,4.36,352,Harper Voyager,0008152403,Fantasy,1,44515,2019-04-04
198,"Red, White & Royal Blue",Casey McQuiston,4.38,423,St. Martin's Griffin(first published May 14th 2019),1250316774,Romance,0,3681,
199,"Red, White & Royal Blue",Casey McQuiston,4.38,423,St. Martin's Griffin(first published May 14th 2019),1250316774,Romance,0,3681,
200,"Red, White & Royal Blue",Casey McQuiston,4.38,423,St. Martin's Griffin(first published May 14th 2019),1250316774,Romance,0,3681,
201,Verity,Colleen Hoover,4.36,314,Independently Published(first published December 7th 2018),1791392792,Thriller,0,327185,2018-12-10
202,The Unhoneymooners,Christina Lauren,4.01,400,Gallery Books(first published May 14th 2019),1501128035,Romance,0,24209,
203,Things You Save in a Fire,Katherine Center,4.1,320,St. Martin's Press,1250047323,Romance,0,3191,2019-08-13
204,The Bride Test,Helen Hoang,3.94,296,Berkley,0451490827,Romance,1,8746,2019-05-07
205,The Savior,J.R. Ward,4.45,479,Gallery Books,1501194941,Fantasy,1,41167,2019-04-02
206,The Kiss Thief,L.J. Shen,4.11,320,Independently published,1793307504,Romance,0,16108,2019-01-06
207,The Flatshare,Beth O'Leary,4.15,325,Flatiron Books(first published April 10th 2019),English,Romance,0,745,2019-05-28
208,Pretty Reckless,L.J. Shen,4.23,360,L.J. Shen,1095447416,Romance,1,16108,2019-04-21
209,The Girl He Used to Know,Tracey Garvis Graves,4.02,291,St. Martin's Press,1250200350,Romance,0,5373,2019-04-02
210,Ayesha at Last,Uzma Jalaluddin,3.93,368,Berkley,1984802798,Romance,0,523,2019-06-04
211,The Friend Zone,Abby Jimenez,3.96,384,Forever,1538715600,Romance,0,1345,2019-06-11
212,The Wedding Party,Jasmine Guillory,3.77,320,Berkley,1984802194,Romance,1,3619,2019-07-16
213,Meet Cute,Helena Hunting,3.79,384,Forever,1538760185,Romance,0,15175,2019-04-09
214,Well Met,Jen DeLuca,3.93,336,Berkley Books,198480538X,Romance,1,531,2019-09-03
215,Sapphire Flames,Ilona Andrews,4.41,352,Avon,0062952587,Fantasy,1,22829,2019-08-27
216,Beard Necessities,Penny Reid,4.37,334,Cipher-Naught,1942874588,Romance,1,14782,2019-11-04
217,The Best Thing,Mariana Zapata,4.07,478,Mariana Zapata(first published August 7th 2019),0990429296,Romance,0,14717,2019-08-13
218,The Wallflower Wager,Tessa Dare,4.04,256,Avon,0062952560,Romance,1,7764,2019-08-13
219,Brazen and the Beast,Sarah MacLean,4.16,352,Avon,0062912976,Romance,1,7985,2019-07-30
220,Recursion,Blake Crouch,4.2,336,Crown Publishing Group (NY),1524759783,Science,0,14284,2019-06-11
221,Recursion,Blake Crouch,4.2,336,Crown Publishing Group (NY),1524759783,Science,0,14284,2019-06-11
222,Recursion,Blake Crouch,4.2,336,Crown Publishing Group (NY),1524759783,Science,0,14284,2019-06-11
223,Dark Age,Pierce Brown,4.49,757,Del Rey Books,0425285944,Science,1,24063,2019-07-30
224,Gideon the Ninth,Tamsyn Muir,4.27,448,Tor.com,1250313198,Fantasy,1,821,2019-09-10
225,This Is How You Lose the Time War,Amal El-Mohtar,4.11,201,Gallery / Saga Press,1534431004,Science,0,547,2019-07-16
226,The Deep,Rivers Solomon,3.88,176,Gallery / Saga Press,1534439862,Fantasy,0,948,2019-11-05
227,Tiamat's Wrath,James S.A. Corey,4.59,534,Orbit Books,0316332879,Science,1,11985,2019-03-26
228,Machines Like Me,Ian McEwan,3.64,337,Nan A. Talese(first published April 18th 2019),0385545118,Fiction,0,10875,2019-04-23
229,Exhalation,Ted Chiang,4.32,350,Alfred A. Knopf,1101947888,Short,0,3992,2019-05-07
230,The Test,Sylvain Neuvel,3.88,108,St Martin's Press(first published February 12th 2019),1250312833,Science,0,3968,2019-03-01
231,"Fall, Or Dodge in Hell",Neal Stephenson,3.6,896,William Morrow,006245871X,Science,0,19397,2019-06-04
232,One Word Kill,Mark  Lawrence,3.77,204,47North,1542042836,Science,1,44516,2019-05-01
233,"To Be Taught, If Fortunate",Becky Chambers,4.26,153,Harper Voyager(first published August 8th 2019),0062936018,Science,0,5666,2019-09-03
234,Wanderers,Chuck Wendig,4.06,782,Del Rey Books(first published June 1st 2019),0399182101,Science,0,3689,2019-07-02
235,The City in the Middle of the Night,Charlie Jane Anders,3.62,368,Tor Books,0765379961,Science,0,2169,2019-02-12
236,A Memory Called Empire,Arkady Martine,4.2,462,Tor Books,1250186439,Science,1,406,2019-03-26
237,Thrawn: Treason,Timothy Zahn,4.24,334,Del Rey,1984820982,Media,1,4672,2019-07-23
238,The Future of Another Timeline,Annalee Newitz,3.86,352,Tor Books,0765392100,Science,0,665,2019-09-24
239,Here and Now and Then,Mike Chen,3.78,336,Mira Books,0778369048,Science,0,235,2019-01-29
