,title,author,rating,pages,publisher,ISBN,genre,series,author_followers,publish_date
213,Beard in Mind,Penny Reid,4.25,400,Cipher-Naught(first published July 31st 2017),1942874324,Romance,1,14782,2017-08-02
214,Dating-ish,Penny Reid,4.32,354,Cipher-Naught,1942874235,Romance,1,14782,2017-05-16
215,Breathless,Beverly Jenkins,4.15,384,Avon,0062389025,Romance,1,1906,2017-01-31
216,Forged in Desire,Brenda Jackson,4.04,384,HQN Books,0373790007,Romance,0,2201,2017-01-31
217,The Duchess Deal,Tessa Dare,4.05,370,Avon,0062349066,Romance,1,7764,2017-08-22
218,Damaged Like Us,Krista Ritchie,4.01,347,EverAfter Romance(first published June 27th 2017),1682305295,Romance,1,5306,2017-07-20
219,Drive,Kate  Stewart,4.49,412,CreateSpace Independent Publishing Platform,1978098758,Romance,0,4825,2017-10-13
220,Artemis,Andy Weir,3.67,305,Crown,0553448129,comments,0,21838,2017-11-14
221,Artemis,Andy Weir,3.67,305,Crown,0553448129,comments,0,21838,2017-11-14
222,Artemis,Andy Weir,3.67,305,Crown,0553448129,comments,0,21838,2017-11-14
223,Waking Gods,Sylvain Neuvel,4.05,336,Del Rey,1101886722,Science,1,3968,2017-04-04
224,Thrawn,Timothy Zahn,4.27,427,Random House,1780894848,Media,1,4672,2017-04-06
225,American War,Omar El Akkad,3.79,333,Knopf Publishing Group,0451493583,Add,0,598,2017-04-04
226,Home,Nnedi Okorafor,4.11,164,Tor.com,0765393115,Science,1,8638,2017-01-31
227,Borne,Jeff VanderMeer,3.91,336,"MCD / Farrar, Straus and Giroux",0374115249,Science,1,7780,2017-04-25
228,Babylon's Ashes,James S.A. Corey,4.22,538,Orbit,0356504263,Science,1,11985,2016-12-06
229,All Our Wrong Todays,Elan Mastai,3.76,373,Dutton Books(first published 2016),1101985135,Science,0,664,2017-02-07
230,The Collapsing Empire,John Scalzi,4.1,333,Tor Books,076538888X,Science,1,16648,2017-03-21
231,And the Rest is History,Jodi Taylor,4.44,376,Night Shade(first published April 13th 2017),1597809063,Science,1,2761,2017-07-18
232,For We Are Many,Dennis E. Taylor,4.38,320,Ethan Ellenberg Literary Agency,1680680595,Science,1,3619,2017-04-14
233,All Systems Red,Martha Wells,4.16,152,Tor.com,0765397536,Science,0,4113,2017-05-02
234,Provenance,Ann Leckie,3.81,439,Orbit,031638867X,Add,1,5345,2017-09-26
235,The Rise and Fall of D.O.D.O.,Neal Stephenson,3.87,752,William Morrow,0062409166,Science,0,19397,2017-06-13
236,Raven Stratagem,Yoon Ha Lee,4.14,355,Solaris,1781085374,Science,1,1137,2017-06-13
237,Six Wakes,Mur Lafferty,3.84,364,Orbit,0316389684,Science,0,1149,2017-01-31
238,Fields of Fire,Marko Kloos,4.32,293,47North,1503940713,Science,1,1885,2017-02-28
239,The Stars Are Legion,Kameron Hurley,3.66,396,Angry Robot,0857666614,Science,0,1770,2017-02-02
240,The Punch Escrow,Tal M. Klein,3.6,319,Geek & Sundry,1942645589,Science,0,201,2017-07-25
241,Seven Surrenders,Ada Palmer,4.2,365,Tor Books,0765378027,Science,1,892,2017-03-07
242,Sleeping Beauties,Stephen King,3.73,702,Scribner,150116340X,Horror,0,673342,2017-09-26
243,Sleeping Beauties,Stephen King,3.73,702,Scribner,150116340X,Horror,0,673342,2017-09-26
244,Sleeping Beauties,Stephen King,3.73,702,Scribner,150116340X,Horror,0,673342,2017-09-26
245,Final Girls,Riley Sager,3.81,342,Dutton,1101985364,Thriller,0,4701,2017-07-11
246,Prince Lestat and the Realms of Atlantis,Anne Rice,3.8,451,Knopf,0385353790,Fantasy,1,20636,2016-11-29
