,title,author,rating,pages,publisher,ISBN,genre,series,author_followers,publish_date
139,Bone White,Ronald Malfi,3.9,384,Kensington Publishing Corporation(first published July 2017),149670388X,Horror,149670388X,607,2017-07-25
140,Bone White,Ronald Malfi,3.9,384,Kensington Publishing Corporation(first published July 2017),149670388X,Horror,149670388X,607,2017-07-25
141,Bone White,Ronald Malfi,3.9,384,Kensington Publishing Corporation(first published July 2017),149670388X,Horror,149670388X,607,2017-07-25
142,Bone White,Ronald Malfi,3.9,384,Kensington Publishing Corporation(first published July 2017),149670388X,Horror,149670388X,607,2017-07-25
143,Bone White,Ronald Malfi,3.9,384,Kensington Publishing Corporation(first published July 2017),149670388X,Horror,149670388X,607,2017-07-25
144,Bone White,Ronald Malfi,3.9,384,Kensington Publishing Corporation(first published July 2017),149670388X,Horror,149670388X,607,2017-07-25
145,Bone White,Ronald Malfi,3.9,384,Kensington Publishing Corporation(first published July 2017),149670388X,Horror,149670388X,607,2017-07-25
146,Bone White,Ronald Malfi,3.9,384,Kensington Publishing Corporation(first published July 2017),149670388X,Horror,149670388X,607,2017-07-25
147,Bone White,Ronald Malfi,3.9,384,Kensington Publishing Corporation(first published July 2017),149670388X,Horror,149670388X,607,2017-07-25
148,Bone White,Ronald Malfi,3.9,384,Kensington Publishing Corporation(first published July 2017),149670388X,Horror,149670388X,607,2017-07-25
149,Bone White,Ronald Malfi,3.9,384,Kensington Publishing Corporation(first published July 2017),149670388X,Horror,149670388X,607,2017-07-25
150,Bone White,Ronald Malfi,3.9,384,Kensington Publishing Corporation(first published July 2017),149670388X,Horror,149670388X,607,2017-07-25
151,Bone White,Ronald Malfi,3.9,384,Kensington Publishing Corporation(first published July 2017),149670388X,Horror,149670388X,607,2017-07-25
152,Bone White,Ronald Malfi,3.9,384,Kensington Publishing Corporation(first published July 2017),149670388X,Horror,149670388X,607,2017-07-25
153,Bone White,Ronald Malfi,3.9,384,Kensington Publishing Corporation(first published July 2017),149670388X,Horror,149670388X,607,2017-07-25
